"S/N","STATE","CONSTITUENCY","PARTY","POSITION","CANDIDATE_NAME","PWD","AGE","GENDER","QUALIFICATIONS","REMARKS"
"155","BAUCHI","BAUCHI","SDP","Senate","ZIDANGA SALEH ADAMU","None","62","M","",""
"","","CENTRAL","","","","","","","",""
"156","BAUCHI","BAUCHI NORTH","SDP","Senate","BELLO ALHAJI SULE","None","39","M","FSLC WAEC B.TECH",""
"157","BAUCHI","BAUCHI SOUTH","SDP","Senate","GARBA MUHAMMAD","None","55","M","FSLC",""
"","","","","","GIDADO","","","","",""
"158","BAUCHI","BAUCHI","ZLP","Senate","MOHAMMED MAHMOOD","None","62","M","INSTITUTE OF",""
"","","CENTRAL","","","","","","","EDUCATION",""
"159","BAUCHI","BAUCHI SOUTH","ZLP","Senate","KHALIFA SANI ABDULLAHI","None","36","M","NECO NATIONAL",""
"160","BAYELSA","BAYELSA","A","Senate","SUOTEIGHA NIMIYE","None","42","F","SSC",""
"","","CENTRAL","","","GEORGE","","","","",""
"161","BAYELSA","BAYELSA EAST","A","Senate","EWA HAPPINESS","None","59","F","SSC DIPLOMA",""
(COMPUTER",""
STUDIES)",""
"162","BAYELSA","BAYELSA WEST","AA","Senate","AKUSI KEME-EPIGHA PIUS","None","43","M","F.L.S.C WAEC",""
"163","BAYELSA","BAYELSA","AA","Senate","AYAH ENETIMI JULIUS","None","42","M","F.L.S.C NECO BSC",""
"","","CENTRAL","","","","","","","",""
"164","BAYELSA","BAYELSA","ADC","Senate","JAMES BRAITHWAITE","None","42","M","",""
"","","CENTRAL","","","","","","","",""
"165","BAYELSA","BAYELSA WEST","ADC","Senate","BARABURU GOODNEWS","None","53","M","FLSC SSCE PHd",""
"","","","","","YOUNG","","","","",""
"166","BAYELSA","BAYELSA EAST","ADC","Senate","FULUDU EBIKPOLADE","None","38","M","",""
"167","BAYELSA","BAYELSA WEST","APC","Senate","DAUYEGHA WILSON","None","39","M","WASSC, NECO B.A",""
"","","","","","AYAKPO","","","","",""
"168","BAYELSA","BAYELSA","APC","Senate","ORUNIMIGHE TIMIPA","None","52","M","ST. MATHIAS STATE",""
"","","CENTRAL","","","TIWEI","","","","SCH. TERIDABA",""
COMMUNITY",""
"174","BAYELSA","BAYELSA","APP","Senate","GEREBO JOSEPH","None","47","M","FSLC SSCE",""
"","","CENTRAL","","","","","","","",""
"175","BAYELSA","BAYELSA WEST","APP","Senate","SALO OLANDO ISAIAH","None","41","M","FSLC SSCE",""
"176","BAYELSA","BAYELSA","LP","Senate","DINO STEPHEN SELEKE","None","37","M","FSLC SSCE",""
"","","CENTRAL","","","","","","","",""
"177","BAYELSA","BAYELSA EAST","NNPP","Senate","IBIBO NABHOMAM","None","42","M","PRIMARY",""
CERTIFICATE SSCE",""
DEGREE",""
"178","BAYELSA","BAYELSA WEST","NNPP","Senate","OWEIFIE EBI AYEKU .S.","None","43","M","PRIMARY",""
CERTIFICATE SSCE",""
BACHELOR OF",""
ENGINEERING",""
"179","BAYELSA","BAYELSA","NNPP","Senate","FEBO OGIONWO AUSTIN","None","64","M","PRIMARY",""
"","","CENTRAL","","","","","","","CERTIFICATE SSCE",""
MASTERS IN PUBLIC",""
ADMINISTRATION",""
MPA, POSTGRADUATE",""
DIPLOMA (PGD)",""
PUBLIC ADMIN.",""
UNIVERSITY DIPLOMA",""
IN ELECTRICAL",""
ENGINEERING (UD)",""
DEGREE",""
"180","BAYELSA","BAYELSA EAST","NRM","Senate","KENNETH YOUNGMAN","None","50","M","WAEC",""
"181","BAYELSA","BAYELSA WEST","NRM","Senate","HEADMAN  JONAH","None","39","M","FIRST SCHOOL",""
"","","","","","ESEBURUKU","","","","LEAVING CERTIFICATE",""
SSCE",""
"182","BAYELSA","BAYELSA","NRM","Senate","CLARKSON JACKSON","None","46","M","NECO",""
"","","CENTRAL","","","EBIBODE","","","","",""
"183","BAYELSA","BAYELSA EAST","PDP","Senate","AGADAGA BENSON","None","66","M","FSLC WASC NCE, B.ED,",""
"","","","","","SUNDAY","","","","MBA",""
"184","BAYELSA","BAYELSA WEST","PDP","Senate","DICKSON HENRY SERIAKE","None","56","M","GCE LLB",""
"185","BAYELSA","BAYELSA","PDP","Senate","BENSON FRIDAY","None","60","M","FSLC GCE PhD",""
"","","CENTRAL","","","KONBOWEI","","","","",""
"186","BAYELSA","BAYELSA","SDP","Senate","EMENDU","None","60","M","FSLC WASSC B,SC",""
"","","CENTRAL","","","AYEBAKETEMUNU","","","","ACCOUNTANT",""
"187","BAYELSA","BAYELSA WEST","YPP","Senate","MOHAMMED TOMBRA","None","56","F","WAEC BSC",""
"","","","","","JENNIFER","","","","",""
"188","BAYELSA","BAYELSA WEST","ZLP","Senate","PERETU ALEXANDER","None","40","M","BACHELOR'S",""
DEGREE",""
"189","BAYELSA","BAYELSA","ZLP","Senate","FISEYE KENNY JUSTICE","None","40","M","WAEC",""
"190","BENUE","BENUE NORTH","AA","Senate","ZUGA SAM","None","51","M","F.L.S.C WAEC",""
"","","EAST","","","","","","","",""
"191","BENUE","BENUE NORTH","ADC","Senate","JIRAJI DEMIAN","None","53","M","",""
"","","EAST","","","","","","","",""
"192","BENUE","BENUE NORTH","ADC","Senate","ORBUNDE CELESTINE","None","53","M","",""
"","","WEST","","","","","","","",""
"193","BENUE","BENUE SOUTH","ADC","Senate","UJAH MATTEW, ONOJA","None","36","M","FIRST SCHOOL",""
LEAVING CERTIFICATE",""
"204","BENUE","BENUE NORTH","LP","Senate","MALU TORNGEE JOSEPH","None","47","M","FSLC SSCE MBBS",""
"","","EAST","","","","","","","",""
"205","BENUE","BENUE SOUTH","LP","Senate","OJOBO JOSEPH","None","51","M","FSLC GCE",""
"206","BENUE","BENUE SOUTH","NNPP","Senate","INALEGWU JOHN EDOH","None","46","M","FIRST SCHOOL",""
"","","","","","EDOH JOHN","","","","LEAVING CERTIFICATE",""
SSCE DIPLOMA",""
"207","BENUE","BENUE NORTH","NNPP","Senate","GBILLAH MARK TERSEER","None","50","M","PRIMARY LEAVING",""
"","","WEST","","","","","","","SCHOOL CERTIFICATE",""
GCE BSC",""
"208","BENUE","BENUE NORTH","NNPP","Senate","TYONEM SIMON SIMON","None","41","M","FIRST LEAVING",""
"","","EAST","","","","","","","CERTIFICATE IJAMBE",""
BSC,POL,SCL",""
"209","BENUE","BENUE NORTH","NRM","Senate","KAOR  SESUGH TITUS","None","42","M","NECO, WAEC B.SC",""
"","","EAST","","","","","","","",""
"210","BENUE","BENUE NORTH","PDP","Senate","ORTOM SAMUEL IORAER","None","61","M","GCE ND, ADPM, MPA",""
"","","WEST","","","","","","","",""
"211","BENUE","BENUE NORTH","PDP","Senate","SUSWAM GABRIEL","None","57","M","FSLC GCE",""
"","","EAST","","","TORWUA","","","","",""
"212","BENUE","BENUE SOUTH","PDP","Senate","MORO ABBA PATRICK","None","64","M","WAEC HSC/MPA/",""
MSC",""
"213","BENUE","BENUE SOUTH","PRP","Senate","IYAH IYAH","None","53","M","WESLEY CENTRAL",""
SCHOOL OTUKPU",""
WESLEY HIGH",""
SCHOOL OTUKPU",""
UNIVERSITY OF",""
BIRMINGAAN",""
"214","BENUE","BENUE NORTH","PRP","Senate","TILE GODWIN TERNA","None","47","M","CERTIFICATE OF",""
"","","WEST","","","","","","","PRIMARY SCHOOL",""
WEST AFRICAN EXAM",""
CERTIFICATE BSC",""
PHILOSOPHY",""
"215","BENUE","BENUE NORTH","PRP","Senate","ISHO ANDREW","None","38","M","PRIMARY SCHOOL",""
"","","EAST","","","AONDOASEER","","","","CERTIFICATE S.S.C.E",""
CERTIFICATE",""
B.SC (BUSINESS",""
MANAGEMENT)",""
"216","BENUE","BENUE SOUTH","SDP","Senate","IDOKO ITODO F","None","37","M","",""
"217","BENUE","BENUE NORTH","SDP","Senate","TYOZENDA JOHN BOSCO","None","52","M","",""
"","","WEST","","","MARIA","","","","",""
"218","BENUE","BENUE NORTH","SDP","Senate","IORSAMBER MARTIN","None","37","M","FSLC SSCE BSC,MSC",""
"","","EAST","","","MSUGHTER","","","","",""
"219","BENUE","BENUE SOUTH","ZLP","Senate","OGBE SIMON OCHEME","None","36","M","NECO COLLEGE OF",""
EDUCATION",""
"220","BORNO","BORNO","A","Senate","TIJANI MARYAM","None","55","F","SSC",""
"","","CENTRAL","","","","","","","",""
"221","BORNO","BORNO","AA","Senate","MOULUD MOHAMMAD","None","61","M","F.S.L.C  GRADE II OND",""
"","","CENTRAL","","","SALEH","","","","",""
"222","BORNO","BORNO SOUTH","AAC","Senate","USMAN JOHN","None","38","M","Primary School Leaving",""
Certificate WAEC/",""
NECO ND and HND IN",""
STATISTICS",""
"223","BORNO","BORNO","ADC","Senate","MUHAMMED SHERIFF","None","35","F","FIRST SCHOOL",""
"","","CENTRAL","","","","","","","LEAVING CERTIFICATE",""
SECONDARY SCHOOL",""
CERTIFICATE",""
"224","BORNO","BORNO NORTH","ADC","Senate","ALHASHIM ABUBAKAR","None","36","M","FIRST SCHOOL",""
"","","","","","MOHAMMED","","","","LEAVING CERTIFICATE",""
SECONDARY SCHOOL",""
CERTIFICATE P D E",""
"225","BORNO","BORNO SOUTH","ADC","Senate","ANDREW PAUL","None","35","M","FIRST SCHOOL",""
LEAVING CERTIFICATE",""
SECONDARY SCHOOL",""
CERTIFICATE",""
BACHELOR DEGREE",""
"226","BORNO","BORNO","ADP","Senate","TIJANI MOHAMMED","None","49","M","FSLC",""
"","","CENTRAL","","","MANGA","","","","",""
"227","BORNO","BORNO SOUTH","APC","Senate","NDUME MOHAMMED ALI","None","62","M","GADAMAYO PRIMARY",""
SCH. GWOZA COMP.",""
SEC. SCHOOL. MUBI",""
UNIVERSITY OF",""
TOLEDO USA",""
"228","BORNO","BORNO NORTH","APC","Senate","MONGUNO MOHAMMED","None","56","M","PRIMARY SCHOOL",""
"","","","","","TAHIR","","","","LEAVING CERTIFICATE",""
GCE LLB, BL",""
"229","BORNO","BORNO","APC","Senate","LAWAN KAKA SHEHU","None","47","M","CHAD BASIN",""
"","","CENTRAL","","","","","","","DEVELOPMENT",""
AUTHORITY",""
ABDULAZIZ ATTA",""
MEMORIAL COLLEGE",""
UNIVERSITY OF",""
MAIDUGURI",""
"230","BORNO","BORNO NORTH","APP","Senate","ABATCHA GAMBO","None","35","M","FSLC WAEC NATIONAL",""
DIPLOMA",""
"231","BORNO","BORNO","APP","Senate","FEMA ABDULKADIR","None","62","M","FIRST SCHOOL",""
"","","CENTRAL","","","","","","","LEAVING CERTIFICATE",""
WAEC",""
"232","BORNO","BORNO SOUTH","APP","Senate","GALADIMA MUSA","None","56","M","FIRST SCHOOL",""
LEAVING CERTIFICATE",""
GRADE II CERTIFICATE",""
BACHELOR OF LAWS",""
"233","BORNO","BORNO","NNPP","Senate","ATTOM MAGIRA TOM","None","40","M","FIRST SCHOOL",""
"","","CENTRAL","","","","","","","LEAVING CERTIFICATE",""
SSCE BSC",""
"234","BORNO","BORNO NORTH","NNPP","Senate","AMOS DAWA","None","45","M","FIRST SCHOOL",""
LEAVING CERTIFICATE",""
SSCE",""
"235","BORNO","BORNO SOUTH","NNPP","Senate","STANLEY DIKA NGADA","None","71","M","FIRST SCHOOL",""
LEAVING CERTIFICATE",""
SSCE MASTER OF LAW",""
"236","BORNO","BORNO","NRM","Senate","TIJJANI MUSTAPHA","None","52","M","FRIST SCHOOL",""
"","","CENTRAL","","","","","","","LEAVING CERTIFICATE",""
WEST AFRICA",""
SCHOOL CERTIFICATE",""
DIPLOMA IN",""
MARKETING",""
"237","BORNO","BORNO SOUTH","NRM","Senate","UMAR ABDULAZIZ","None","56","M","FIRST SCHOOL",""
LEAVING CERTIFICATE",""
SSCE DIPLOMA",""
"238","BORNO","BORNO NORTH","NRM","Senate","MUSTAPHA BUKAR","None","37","M","FIRST SCHOOL",""
LEAVING CERTIFICATE",""
SSCE ND",""
"239","BORNO","BORNO","PDP","Senate","KUMAILA MOHAMMED","None","54","M","FSLC G.C.E. LL.B",""
"","","CENTRAL","","","UMARA","","","","",""
"240","BORNO","BORNO SOUTH","PDP","Senate","KUDLA MILINDA SATUMARI None","","52","M","FSLC G.C.E. BSc.",""
"241","BORNO","BORNO NORTH","PDP","Senate","LAWAN ISA","None","52","M","FSLC SSCE B.Ed",""
"242","BORNO","BORNO SOUTH","PRP","Senate","BWALA JOHN MARK","None","51","M","PRIMARY SCHOOL",""
CERTIFICATE",""
SERNIOR SECONDARY",""
SCHOOL CERTIFICATE",""
"243","BORNO","BORNO SOUTH","SDP","Senate","HARUNA AUDU","None","52","M","FLSC SSCE ND",""
"244","BORNO","BORNO","SDP","Senate","WUROMA ZANNA","None","62","M","FLSC SSCE BSC",""
"","","CENTRAL","","","SHETTIMA","","","","",""
"245","BORNO","BORNO NORTH","SDP","Senate","KURA MODU  BABAGANA","None","38","M","FLSC SSCE BSC",""
"246","CROSS River","CROSS RIVER","AA","Senate","IKWEN PETER BANBESHIE","None","39","M","F.L.S.C NECO BSC",""
"","","NORTH","","","","","","","",""
"247","CROSS River","CROSS RIVER","AA","Senate","IGBOKE ROLAND BASSEY","None","40","M","F.L.S.C WAEC BSC",""
"","","CENTRAL","","","","","","","",""
"248","CROSS River","CROSS RIVER","ADC","Senate","UWANA UTI","None","37","M","",""
"","","CENTRAL","","","","","","","",""
"249","CROSS River","CROSS RIVER","ADC","Senate","OGAR JOHN","None","40","M","",""
"","","NORTH","","","","","","","",""
"250","CROSS River","CROSS RIVER","ADC","Senate","OFFIONG JOSEE","None","40","M","",""
"","","SOUTH","","","","","","","",""
"251","CROSS River","CROSS RIVER","APC","Senate","WILLIAMS  ETENG JONAH","None","52","M","FIRST SCHOOL",""
"","","CENTRAL","","","","","","","LEAVING CERTIFICATE",""
WASC MPA",""
"252","CROSS River","CROSS RIVER","APC","Senate","EKPENYONG ASUQUO","None","37","M","PRIMARY LEAVING",""
"","","SOUTH","","","","","","","CERTIFICATE SSCE",""
Bachelor of Arts",""
"253","CROSS River","CROSS RIVER","APC","Senate","AYADE  BENEDICT","None","54","M","FSLC SSCE BS.c",""
"","","NORTH","","","BENGIOUSHUYE","","","","",""
"254","CROSS River","CROSS RIVER","APGA","Senate","UKPONG CHUWANG","None","35","M","FLSC WAEC",""
"","","SOUTH","","","DANIEL","","","","",""
"255","CROSS River","CROSS RIVER","APM","Senate","JOSEPH ODEY ADULA","None","43","M","",""
"","","NORTH","","","","","","","",""
"256","CROSS River","CROSS RIVER","APM","Senate","OROK GLORIA ODIDI","None","35","F","FIRST SCHOOL",""
"","","SOUTH","","","","","","","LEAVING CERTIFICATE",""
WAEC/SSCE",""
"257","CROSS River","CROSS RIVER","LP","Senate","ASUQUO DANIEL EFFIONG","None","60","M","FSLC GCE BSC",""
"","","SOUTH","","","","","","","",""
"258","CROSS River","CROSS RIVER","LP","Senate","OKOMISO PATRICK","None","58","M","FSLC SSCE",""
"","","CENTRAL","","","","","","","",""
"259","CROSS River","CROSS RIVER","LP","Senate","GBOSHE AGANYI GBOSHE","None","53","M","FSLC WAEC BSC",""
"","","NORTH","","","","","","","",""
"260","CROSS River","CROSS RIVER","NNPP","Senate","EMERE OGAR MOSES","None","40","M","FSLC SSCE",""
"","","CENTRAL","","","","","","","",""
"261","CROSS River","CROSS RIVER","NNPP","Senate","EKPENYOWN AYI ETIM","None","46","M","FSLC SSCE BSC.",""
"","","SOUTH","","","","","","","",""
"262","CROSS River","CROSS RIVER","NNPP","Senate","AGIAMPUYE MOSES OGAR","None","37","M","PRIMARY LEAVING",""
"","","NORTH","","","","","","","CERTIFICATE SSCE",""
"263","CROSS River","CROSS RIVER","PDP","Senate","OKON EKPO ASUQUO","None","62","M","FSLC WAEC HND",""
"","","SOUTH","","","EKPO","","","","",""
"264","CROSS River","CROSS RIVER","PDP","Senate","EWA BASSEY EKO","None","55","M","FSLC GCE LLB",""
"","","CENTRAL","","","","","","","",""
"265","CROSS River","CROSS RIVER","PDP","Senate","JARIGBE AGOM JARIGBE","None","51","M","FSLC GCE B.SC",""
"","","NORTH","","","","","","","",""
"266","CROSS River","CROSS RIVER","PRP","Senate","IBU WILLIAMS","None","60","M","F.S.L.C WASC MBA",""
"","","NORTH","","","","","","","",""
"267","CROSS River","CROSS RIVER","PRP","Senate","INYANG CELESTINE AWOR","None","54","M","SSCE B .A.",""
"","","SOUTH","","","","","","","PHILOSOPHY",""
"268","CROSS River","CROSS RIVER","PRP","Senate","ABAM (COMRADE) ETTAH","None","50","M","F.S.L.C WASC OND",""
"","","CENTRAL","","","ETENG","","","","(BANKING AND",""
FINANCE)",""
"269","CROSS River","CROSS RIVER","SDP","Senate","ABUASHE GABRIEL ABBAS","None","41","M","FSLC SSCE BACHELOR",""
"","","NORTH","","","","","","","OF ENGINEERING",""
"270","CROSS River","CROSS RIVER","SDP","Senate","EDET NEWTON BASSEY","None","42","M","FSLC WAEC",""
"","","SOUTH","","","","","","","",""
"271","CROSS River","CROSS RIVER","SDP","Senate","ESANG DOMINION","None","38","M","FSLC WAEC",""
"","","CENTRAL","","","WINNER","","","","UNIVERSITY OF",""
CALABAR",""
"272","CROSS River","CROSS RIVER","YPP","Senate","ATTAH  ANTHONY","None","44","M","FSLC SSCE BSC",""
"","","CENTRAL","","","BISSIONG","","","","",""
"273","CROSS River","CROSS RIVER","YPP","Senate","OGAR UNIMKE KENNETH","None","42","F","SSCE BSC",""
"","","NORTH","","","","","","","",""
"274","CROSS River","CROSS RIVER","YPP","Senate","EKENG ANDEM","None","37","M","BSC",""
"275","DELTA","DELTA CENTRAL","A","Senate","EVWIERHURHOMA OSHEO","None","48","M","BACHELOR OF",""
"","","","","","FELIX","","","","ENGINEERING",""
CHEMICAL",""
"276","DELTA","DELTA NORTH","A","Senate","OBI IJOMAH FEDERICK","None","50","M","FSLC SSC BACHELOR",""
OF ARTS (HISTORY",""
AND INTERNATIONAL",""
STUDIES)",""
"277","DELTA","DELTA CENTRAL","AA","Senate","GIANE NELSON GWEDE","None","61","M","F.L.S.C WAEC N.C.E",""
B.Ed  MSC",""
"278","DELTA","DELTA SOUTH","ADC","Senate","REGINA OKE, EMEVWERENI None","","59","F","FIRST SCHOOL",""
LEAVING CERTIFICATE",""
SSCE NCE, MS. 2015",""
"279","DELTA","DELTA CENTRAL","ADC","Senate","AVWORO  MAVER","None","43","M","FIRST SCHOOL",""
"","","","","","SYLVESTER","","","","LEAVING CERTIFICATE",""
SSCE, NECO",""
"280","DELTA","DELTA NORTH","ADC","Senate","GBANDI  KENNETH","None","54","M","FIRST SCHOOL",""
"","","","","","CHIBUOGWU","","","","LEAVING CERTIFICATE",""
WEST AFRICAN",""
SCHOOL CERTIFICATE",""
BACHELOR DEGREE",""
"281","DELTA","DELTA CENTRAL","ADP","Senate","EVAH OGHENEOVO","None","51","M","FSLC WAEC",""
"282","DELTA","DELTA NORTH","ADP","Senate","ODIAKA CHIONYE HENCS","None","55","M","GCE/WAEC",""
"283","DELTA","DELTA SOUTH","APC","Senate","JOEL-ONOWAKPO","None","55","M","PRIMARY SCHOOL",""
"","","","","","THOMAS EWOMAZINO","","","","LEAVING CERTIFICATE",""
WAEC ACA",""
"284","DELTA","DELTA CENTRAL","APC","Senate","DAFINONE EDE OMUEYA","None","60","M","CORANA SCHOOL",""
APAPA KINGS",""
COLLEGE LAGOS",""
RUGBI SCH",""
UNITEDKINGDOM",""
"285","DELTA","DELTA NORTH","APC","Senate","NWAOBOSHI ONYELUKA","None","65","M","PRIMARY SCHOOL",""
"","","","","","PETER","","","","CERTIFICATE WAEC",""
UNIVERSITY OF",""
BENIN",""
"286","DELTA","DELTA CENTRAL","APGA","Senate","OMARUAYE PETER","None","53","M","FIRST SCHOOL",""
"","","","","","OMORUAYIGBE","","","","LEAVING CERTIFICATE",""
WASSCE BACHELOR",""
OF SCIENCE",""
"287","DELTA","DELTA SOUTH","APGA","Senate","TIMINIMI GEORGE","None","60","M","FIRST SCHOOL",""
"","","","","","UGULASUOWEI","","","","LEAVING CERTIFICATE",""
WASSCE",""
"288","DELTA","DELTA NORTH","APGA","Senate","OBODO  ISAAC","None","56","M","FIRST SCHOOL",""
LEAVING CERTIFICATE",""
SSCE OND",""
"289","DELTA","DELTA CENTRAL","APM","Senate","NURHIERUME MONDAY","None","44","M","FIRST SCHOOL",""
LEAVING",""
CERTIFICATE WAEC",""
OND AND MASTERS",""
CERTIFICATE",""
"290","DELTA","DELTA SOUTH","APM","Senate","WHISKEY","None","43","M","FIRST SCHOOL",""
"","","","","","AREROSUOGHENE","","","","LEAVING CERTIFICATE",""
"","","","","","EWUBAREH","","","","SSCE",""
"291","DELTA","DELTA NORTH","APM","Senate","ISELEGWU CLEMENT","None","55","M","FIRST SCHOOL",""
LEAVING CERTIFICATE",""
SSCE HND",""
"292","DELTA","DELTA CENTRAL","APP","Senate","EWHRUDJAKPOR","None","37","M","NECO HND",""
"","","","","","OGHENEKEVWE","","","","",""
"293","DELTA","DELTA SOUTH","APP","Senate","AVINYEZE PETER","None","37","M","WAEC B.SC",""
"294","DELTA","DELTA NORTH","APP","Senate","APUAMAGA GOCHI UGO","None","40","M","SSCE",""
"295","DELTA","DELTA SOUTH","LP","Senate","OBAOGHE TERENCE","None","36","M","FSLC WAEC/GCE",""
"","","","","","OGAGAOGHENE","","","","DEGREE",""
"296","DELTA","DELTA NORTH","NNPP","Senate","OGOH-ALI MARIAN","None","67","F","PRIMARY LEAVING",""
"","","","","","NNEAMAKA","","","","CERTIFICATE SSCE",""
MBBS",""
"297","DELTA","DELTA SOUTH","NNPP","Senate","NESIAMA OMATSEYE","None","59","M","PRIMARY LEAVÃNG",""
"","","","","","O'WEYIMMI","","","","CERTIFICATE SSCE",""
MASTER TRANSPORT",""
MGT",""
"298","DELTA","DELTA CENTRAL","NNPP","Senate","ANIGBORO GLORY","None","36","M","PRIMARY LEAVING",""
"","","","","","RUKEVWE","","","","CERTIFICATE SSCE",""
"299","DELTA","DELTA CENTRAL","NRM","Senate","ANIMAM OVIE JULIUS","None","47","M","FRIST SCHOOL",""
LEAVING CERTIFICATE",""
SENIOR SECONDARY",""
SCHOOL CERTIFICATE",""
"300","DELTA","DELTA SOUTH","NRM","Senate","BINITIE TOJU AWIU","None","45","M","FRIST SCHOOL",""
LEAVING CERTIFICATE",""
"301","DELTA","DELTA CENTRAL","PDP","Senate","AMORI IGHOYOTA","None","70","M","WAEC MSC",""
"302","DELTA","DELTA SOUTH","PDP","Senate","DIDEN MICHAEL","None","59","M","FSLC WAEC B.SC",""
"303","DELTA","DELTA NORTH","PDP","Senate","NWOKO CHINEDU MUNIR","None","61","M","FSLC WASC LLM",""
"304","DELTA","DELTA NORTH","PRP","Senate","AHUMIBE CHIAZOR","None","36","M","S.S.C.E",""
"305","DELTA","DELTA SOUTH","PRP","Senate","WAIBODE OYIBO","None","68","M","FIRST SCHOOL",""
LEAVING CERTIFICATE",""
SSCE DIPLOMA",""
"306","DELTA","DELTA NORTH","SDP","Senate","NWAFOR PETER","None","51","M","FLSC WAEC BSC",""
"307","DELTA","DELTA SOUTH","SDP","Senate","OGHENEVO PRINCEWILL","None","40","M","FLSC SSCE BSC",""
"308","DELTA","DELTA CENTRAL","SDP","Senate","EKPEKPO OVIEMUNO","None","52","M","FLSC SSCE BSC",""
"309","DELTA","DELTA SOUTH","YPP","Senate","GARRY FRANKLIN MIEBI","None","42","M","FSLC WASSCE BSC",""
"310","DELTA","DELTA CENTRAL","YPP","Senate","EDEWOR OGHENEOVO","None","41","M","NECO",""
"311","DELTA","DELTA SOUTH","ZLP","Senate","AKAKASI LUCKY","None","43","M","BACHELOR OF",""
SCIENCE",""
"312","DELTA","DELTA CENTRAL","ZLP","Senate","OBENOBE MACPHERSON","None","52","M","WEST AFRICAN",""
"","","","","","OGHENEBRORHIE","","","","SCHOOL CERTIFICATE",""
"313","DELTA","DELTA NORTH","ZLP","Senate","NKWOALA EMEKA","None","49","M","GENERAL",""
"314","EBONYI","EBONYI","AA","Senate","NWONU EPHRAIM","None","48","M","F.L.S.C WAEC B.SC",""
"","","CENTRAL","","","","","","","(HONS)",""
"315","EBONYI","EBONYI NORTH","AA","Senate","IKERIA CHIBUIKE","None","37","M","F.L.S.C WAEC L.L.B. /",""
"","","","","","SOLOMON","","","","BL",""
"316","EBONYI","EBONYI SOUTH","AA","Senate","EGWU REUBEN UCHE","None","49","M","F.L.S.C WAEC 1st & 2nd",""
degree",""
"317","EBONYI","EBONYI","ADC","Senate","UKPABI HENRY","None","40","M","FIRST SCHOOL",""
"","","CENTRAL","","","IKECHUKWU","","","","LEAVING CERTIFICATE",""
SECONDARY SCHOOL",""
CERTIFICATE HIGHER",""
NATIONAL DEGREE",""
"318","EBONYI","EBONYI NORTH","ADC","Senate","NWOJIJI SAMUEL IGUM","None","35","M","FIRST SCHOOL",""
LEAVING CERTIFICATE",""
SECONDARY SCHOOL",""
CERTIFICATE HIGHER",""
DIPOLMA DEGREE",""
"319","EBONYI","EBONYI SOUTH","ADC","Senate","AKPANWAZE MACSON","None","35","M","FIRST SCHOOL",""
"","","","","","INNOCENT","","","","LEAVING CERTIFICATE",""
SECONDARY SCHOOL",""
CERTIFICATE",""
NATIONAL DIPLOMA",""
"320","EBONYI","EBONYI","APC","Senate","EZE KENNETH EMEKA","None","52","M","First School Leaving",""
"","","CENTRAL","","","","","","","Certificate SSCE B.ENG",""
"321","EBONYI","EBONYI SOUTH","APC","Senate","NWEZE DAVID UMAHI","None","59","M","FSLC WAEC B ENG","COURT"
","ORDER"
"322","EBONYI","EBONYI NORTH","APC","Senate","NWEBONYI ONYEKA PETER None","","41","M","First School Leaving",""
Certificate SSCE LLB, BL",""
"323","EBONYI","EBONYI NORTH","APGA","Senate","NWIDEMBIA SILAS","None","44","M","FIRST SCHOOL",""
"","","","","","CHIBUEZE","","","","LEAVING",""
CERTIFICATE WASSCE",""
/ NECO B.Sc PUB.",""
ADMINISTRATION",""
"324","EBONYI","EBONYI SOUTH","APGA","Senate","ELEJE IFEANYI INYA","None","67","M","FIRST SCHOOL",""
LEAVING CERTIFICATE",""
GENERAL",""
CERTIFICATE",""
OF EDUCATION",""
BACHELORS DEGREE",""
"325","EBONYI","EBONYI","APGA","Senate","ONWE  UZOR EMMANUEL","None","56","M","FIRST SCHOOL",""
"","","CENTRAL","","","","","","","LEAVING CERTIFICATE",""
WASSCE BACHELOR",""
OF LAWS (LLB)",""
"326","EBONYI","EBONYI SOUTH","LP","Senate","OKORIE LINUS ABAA","None","56","M","FSLC SSCE",""
"327","EBONYI","EBONYI NORTH","LP","Senate","ENIGWE ANSLEM OKWY","None","53","M","FSLC WAEC LLB Law",""
"328","EBONYI","EBONYI","LP","Senate","NWURUKU LAWRENCE","None","64","M","FSLC SSCE B.Sc",""
"","","CENTRAL","","","","","","","",""
"329","EBONYI","EBONYI","NNPP","Senate","BENJIS  OKECHUKWU","None","47","M","PRIMARY SCHOOL",""
"","","CENTRAL","","","OTUBO","","","","LEAVING CERTIFICATE",""
SSCE",""
"330","EBONYI","EBONYI SOUTH","NNPP","Senate","LEO OGBONNIA IDAM","None","38","M","PRIMARY SCHOOL",""
LEAVING CERTIFICATE",""
SSCE BSC",""
"331","EBONYI","EBONYI NORTH","NNPP","Senate","NWOKORO AMBROSE","None","44","M","PRIMARY SCHOOL",""
"","","","","","NWIZI","","","","LEAVING CERTIFICATE",""
SSCE",""
"332","EBONYI","EBONYI SOUTH","NRM","Senate","IBEABUCHI LEVI AJAH","None","37","M","FRIST SCHOOL",""
LEAVING CERTIFICATE",""
WAEC",""
"333","EBONYI","EBONYI","NRM","Senate","OGODO STANLEY","None","36","M","FRIST SCHOOL",""
"","","CENTRAL","","","OGECHUKWU","","","","LEAVING CERTIFICATE",""
SSCE",""
